Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Type of product,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,21786250,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,PET,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,214354938,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMM,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,9153810,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,MEO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,86234492,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,BIM,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,9598381,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,CPR,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,30777872,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,GBO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,87895,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NFO,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,213084447,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMC,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,7698127,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,WOD,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,27620304,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,GAS,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,127370,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,WCH,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.4,8.4.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",12,Algeria,2016,1270490,2016,,,,,Environment Live / Global Material Flows Database,,,E,G,NMA,TONNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
