Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),242,Fiji,2016,2.07,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),246,Finland,2016,2.32,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),250,France,2016,0.74,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),258,French Polynesia,2016,0.78,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),262,Djibouti,2016,5.18,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),266,Gabon,2016,-0.97,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),268,Georgia,2016,3.13,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),270,Gambia,2016,-1.06,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),275,State of Palestine,2016,6.36,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),276,Germany,2016,1.72,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
