Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Reporting Type]
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),124,Canada,2018,170985.027,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),140,Central African Republic,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),152,Chile,2018,2328.289,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),162,Christmas Island,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),31,Azerbaijan,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),36,Australia,2018,8898.983,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),48,Bahrain,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),60,Bermuda,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),570,Niue,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),581,United States Minor Outlying Islands,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),586,Pakistan,2018,0,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
15,15.2,15.2.1,AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),604,Peru,2018,805.831,2018,,,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,G,HA_TH,G
