Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,V11_6_2,Time_Detail,Source,FootNote,Nature,Units,Location,Reporting Type
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",598,Papua New Guinea,2016,11.47,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",600,Paraguay,2016,11.69,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",608,Philippines,2016,18.71,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",616,Poland,2016,21.53,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",8,Albania,2016,18.17,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",24,Angola,2016,28.41,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",31,Azerbaijan,2016,18.51,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",28,Antigua and Barbuda,2016,18.04,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",36,Australia,2016,7.30,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",44,Bahamas,2016,18.99,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",51,Armenia,2016,32.86,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
