Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Nature,Reporting Type,Type of product,Units,2005,2010,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",19,Americas,C,G,TEX,PERCENT,9.85,10.29,9.06,9.10,8.94,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,AGR,PERCENT,12.03,12.81,19.10,17.31,18.82,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,ALP,PERCENT,7.81,8.24,10.18,8.62,9.21,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,ARM,PERCENT,24.50,29.92,30.00,29.63,29.92,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,CLO,PERCENT,15.00,15.00,10.34,10.38,10.42,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,IND,PERCENT,6.40,7.15,8.41,6.89,7.11,6.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,OIL,PERCENT,20.00,20.00,20.00,20.00,20.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",24,Angola,C,G,TEX,PERCENT,10.80,10.57,12.20,9.57,10.07,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,AGR,PERCENT,14.90,10.83,15.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,ALP,PERCENT,17.09,14.33,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,ARM,PERCENT,,25.00,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,CLO,PERCENT,15.00,15.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,IND,PERCENT,17.90,14.51,20.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,OIL,PERCENT,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",660,Anguilla,C,G,TEX,PERCENT,16.45,15.78,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,AGR,PERCENT,18.30,17.76,19.14,19.78,19.01,19.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,ALP,PERCENT,14.19,14.37,16.01,16.41,15.84,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,ARM,PERCENT,43.75,54.07,55.56,52.37,51.29,51.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,CLO,PERCENT,19.99,19.99,19.99,20.00,19.98,19.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,IND,PERCENT,12.56,12.71,14.38,14.77,14.54,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,OIL,PERCENT,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",28,Antigua and Barbuda,C,G,TEX,PERCENT,14.34,14.78,15.44,15.64,15.50,15.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,AGR,PERCENT,10.41,11.50,13.78,13.53,12.18,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,ALP,PERCENT,12.74,13.74,12.30,12.44,15.44,12.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,ARM,PERCENT,20.00,20.00,19.90,20.00,18.67,18.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,CLO,PERCENT,20.00,37.14,35.00,35.00,35.00,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,IND,PERCENT,12.70,13.44,11.97,12.07,15.38,12.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,OIL,PERCENT,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",32,Argentina,C,G,TEX,PERCENT,16.51,21.59,22.40,22.67,23.59,23.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",51,Armenia,C,G,AGR,PERCENT,7.25,6.54,7.55,5.32,6.22,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",51,Armenia,C,G,ALP,PERCENT,2.49,3.18,4.90,2.93,3.09,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",51,Armenia,C,G,CLO,PERCENT,9.88,9.77,9.97,6.83,6.97,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",51,Armenia,C,G,IND,PERCENT,1.17,2.00,3.70,2.04,2.06,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",51,Armenia,C,G,TEX,PERCENT,3.32,3.72,6.25,4.09,5.12,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",533,Aruba,C,G,AGR,PERCENT,12.47,6.48,5.95,5.45,6.04,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",533,Aruba,C,G,ALP,PERCENT,9.67,9.55,9.12,9.11,9.13,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",533,Aruba,C,G,ARM,PERCENT,12.00,15.78,13.28,13.28,12.36,12.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",533,Aruba,C,G,CLO,PERCENT,6.00,6.00,6.00,6.00,6.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",533,Aruba,C,G,IND,PERCENT,9.38,10.68,10.44,10.58,10.53,10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",533,Aruba,C,G,TEX,PERCENT,16.80,12.65,12.51,12.60,12.54,12.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,AGR,PERCENT,21.65,16.47,16.52,16.96,17.87,17.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
